Tank,Treatment,Chamber,Plug,Starting Larvae,Day,Total,Aggregate,Individual,Notes
Tank1,Cold,C05,893,100,2,1,0,1,1 gloppy/ top
Tank1,Cold,C06,637,100,2,0,0,0,
Tank1,Cold,C06,792,100,2,0,0,0,
Tank1,Cold,C06,839,100,2,0,0,0,
Tank1,Cold,C07,584A,100,2,0,0,0,
Tank1,Cold,C07,829,100,2,1,0,1,top
Tank1,Cold,C07,1147,100,2,3,0,3,top
Tank1,Cold,C08,643A,100,2,0,0,0,
Tank1,Cold,C08,856,100,2,0,0,0,
Tank1,Cold,C08,1082,100,2,1,0,1,top; not looking the best
Tank2,Cold,C09,216,100,1,0,0,0,
Tank2,Cold,C09,413,100,1,1,0,1,bottom
Tank2,Cold,C09,568,100,1,0,0,0,1 (might have settled then died)
Tank2,Cold,C10,107,100,1,0,0,0,
Tank2,Cold,C10,642,100,1,0,0,0,
Tank2,Cold,C10,1164,100,1,1,0,1,top
Tank2,Cold,C11,545,100,1,1,0,1,underside of top
Tank2,Cold,C11,1070,100,1,2,0,2,top
Tank2,Cold,C11,1131,100,1,0,0,0,
Tank2,Cold,C12,541,100,1,1,0,1,top
Tank2,Cold,C12,596,100,1,0,0,0,
Tank2,Cold,C12,1148,100,1,0,0,0,
Tank2,Cold,C13,285,100,2,0,0,0,
Tank2,Cold,C13,435,100,2,3,0,3,top
Tank2,Cold,C13,620,100,2,4,0,4,top
Tank2,Cold,C14,601,100,2,0,0,0,
Tank2,Cold,C14,632,100,2,0,0,0,
Tank2,Cold,C14,1172,100,2,2,0,2,top
Tank2,Cold,C15,504A,100,2,2,0,2,top
Tank2,Cold,C15,837,100,2,6,0,6,top
Tank2,Cold,C15,1156,100,2,0,0,0,
Tank2,Cold,C16,253,100,2,1,0,1,top
Tank2,Cold,C16,560,100,2,1,0,1,top
Tank2,Cold,C16,671,100,2,4,2,2,top
Tank3,Cold,C17,357,100,1,0,0,0,
Tank3,Cold,C17,796,100,1,0,0,0,
Tank3,Cold,C17,1135,100,1,0,0,0,
Tank3,Cold,C18,442,100,1,1,0,1,side
Tank3,Cold,C18,679,100,1,0,0,0,
Tank3,Cold,C18,843,100,1,1,0,1,top side
