DateTime,Temp,Phase
7/10/19 11:00,21.724,Settlement
7/10/19 11:15,28.245,Settlement
7/10/19 11:30,28.568,Settlement
7/10/19 11:45,28.617,Settlement
7/10/19 12:00,28.642,Settlement
7/10/19 12:15,28.667,Settlement
7/10/19 12:30,28.717,Settlement
7/10/19 12:45,28.742,Settlement
7/10/19 13:00,28.766,Settlement
7/10/19 13:15,28.791,Settlement
7/10/19 13:30,28.816,Settlement
7/10/19 13:45,28.866,Settlement
7/10/19 14:00,28.891,Settlement
7/10/19 14:15,28.941,Settlement
7/10/19 14:30,28.965,Settlement
7/10/19 14:45,28.99,Settlement
7/10/19 15:00,29.015,Settlement
7/10/19 15:15,29.04,Settlement
7/10/19 15:30,29.09,Settlement
7/10/19 15:45,29.09,Settlement
7/10/19 16:00,29.115,Settlement
7/10/19 16:15,29.14,Settlement
7/10/19 16:30,29.165,Settlement
7/10/19 16:45,29.165,Settlement
7/10/19 17:00,29.165,Settlement
7/10/19 17:15,29.115,Settlement
7/10/19 17:30,29.115,Settlement
7/10/19 17:45,29.09,Settlement
7/10/19 18:00,29.065,Settlement
7/10/19 18:15,29.04,Settlement
7/10/19 18:30,29.04,Settlement
7/10/19 18:45,29.015,Settlement
7/10/19 19:00,28.99,Settlement
7/10/19 19:15,28.99,Settlement
7/10/19 19:30,28.965,Settlement
7/10/19 19:45,28.965,Settlement
7/10/19 20:00,28.941,Settlement
7/10/19 20:15,28.916,Settlement
7/10/19 20:30,28.891,Settlement
7/10/19 20:45,28.891,Settlement
7/10/19 21:00,28.866,Settlement
7/10/19 21:15,28.866,Settlement
7/10/19 21:30,28.841,Settlement
7/10/19 21:45,28.841,Settlement
7/10/19 22:00,28.816,Settlement
7/10/19 22:15,28.791,Settlement
7/10/19 22:30,28.766,Settlement
7/10/19 22:45,28.742,Settlement
7/10/19 23:00,28.717,Settlement
7/10/19 23:15,28.717,Settlement
7/10/19 23:30,28.692,Settlement
7/10/19 23:45,28.692,Settlement
7/11/19 00:00,28.692,Settlement
7/11/19 00:15,28.667,Settlement
7/11/19 00:30,28.667,Settlement
7/11/19 00:45,28.667,Settlement
